id,year,State,new_agi_stub,Returns,Single,Joint,Hd_of_Hshld,AGI_Amt,Std_Ded_Charity_Returns,Std_Ded_Charity_Amt,Std_Ded_Returns,Std_Ded_Amt,Itemized_Ded_Returns,Itemized_Ded_Amt,Charitable_Returns,Charitable_Amt
116,2012,ME,3.0,91680.0,,57610.0,6410.0,5649993.0,,,,,39750.0,660390.0,28410.0,50628.0
117,2012,ME,4.0,55340.0,,45090.0,1920.0,4820040.0,,,,,35210.0,675058.0,27130.0,54880.0
118,2012,ME,5.0,55360.0,,48050.0,1340.0,7550310.0,,,,,48510.0,1219221.0,41660.0,115428.0
119,2012,ME,6.0,12500.0,,10740.0,320.0,5739858.0,,,,,12320.0,804173.0,11480.0,117729.0
120,2012,MD,1.0,934580.0,,83640.0,175700.0,11319294.0,,,,,96030.0,1394957.0,63310.0,124918.0
121,2012,MD,2.0,640840.0,,124350.0,151460.0,23378337.0,,,,,226330.0,3658473.0,175360.0,482302.0
122,2012,MD,3.0,403910.0,,139340.0,66570.0,24884374.0,,,,,251490.0,4868952.0,207250.0,651503.0
123,2012,MD,4.0,274000.0,,149420.0,30980.0,23771344.0,,,,,219940.0,4967923.0,185330.0,636350.0
124,2012,MD,5.0,432210.0,,335810.0,22590.0,59144763.0,,,,,402880.0,12104489.0,360520.0,1482315.0
125,2012,MD,6.0,142090.0,,127410.0,2990.0,63078789.0,,,,,141120.0,10310414.0,132940.0,1629304.0
126,2012,MA,1.0,1098870.0,,107620.0,143540.0,12828212.0,,,,,93650.0,1469937.0,59750.0,72460.0
127,2012,MA,2.0,722640.0,,144910.0,117340.0,26402480.0,,,,,170080.0,2661325.0,123190.0,191245.0
128,2012,MA,3.0,453670.0,,172610.0,48970.0,27914250.0,,,,,212860.0,3737990.0,167270.0,278698.0
129,2012,MA,4.0,296250.0,,185570.0,19070.0,25683475.0,,,,,192600.0,3905270.0,159800.0,292014.0
130,2012,MA,5.0,462410.0,,373200.0,15540.0,63152180.0,,,,,400380.0,10279749.0,352890.0,825848.0
131,2012,MA,6.0,184910.0,,160490.0,3890.0,106106195.0,,,,,182080.0,14127292.0,169730.0,2684712.0
132,2012,MI,1.0,1966490.0,,266610.0,322990.0,22791402.0,,,,,122370.0,1700782.0,82550.0,154825.0
133,2012,MI,2.0,1007600.0,,333800.0,164920.0,36435321.0,,,,,231240.0,3223867.0,172330.0,416240.0
134,2012,MI,3.0,608620.0,,342880.0,60290.0,37548600.0,,,,,261610.0,4188807.0,213500.0,592898.0
135,2012,MI,4.0,393690.0,,299200.0,21610.0,34069649.0,,,,,231350.0,4242553.0,200120.0,620790.0
136,2012,MI,5.0,467550.0,,407550.0,13030.0,62509779.0,,,,,378080.0,8689375.0,346760.0,1351443.0
137,2012,MI,6.0,118560.0,,105100.0,2580.0,60360347.0,,,,,114890.0,6926488.0,108870.0,1612775.0
138,2012,MN,1.0,907270.0,,97520.0,114380.0,10689519.0,,,,,67180.0,998788.0,47270.0,81627.0
139,2012,MN,2.0,607150.0,,160350.0,91400.0,22113789.0,,,,,158250.0,2268194.0,114460.0,224184.0
140,2012,MN,3.0,381580.0,,205490.0,30530.0,23580698.0,,,,,191590.0,3195223.0,153330.0,338844.0
141,2012,MN,4.0,262550.0,,202940.0,10540.0,22787566.0,,,,,178730.0,3455757.0,154490.0,397864.0
142,2012,MN,5.0,330040.0,,289370.0,7760.0,44667722.0,,,,,293840.0,7356528.0,270670.0,932792.0
143,2012,MN,6.0,97860.0,,87170.0,2020.0,49948418.0,,,,,96210.0,7040572.0,91940.0,1310467.0
